Species	TaxID	Kingdom	Phylum	Class	Order	Family
Dioscorea japonica	4673	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae
Dunaliella tertiolecta	3047	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae
Eucalyptus pauciflora	87676	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae
Euonymus alatus	4307	Viridiplantae	Streptophyta	Magnoliopsida	Celastrales	Celastraceae
Eutrema salsugineum	72664	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae
Glycine max	3847	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Gossypium anomalum	47600	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium arboreum	29729	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium bickii	47622	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium herbaceum	34274	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium hirsutum	3635	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium longicalyx	34280	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium raimondii	29730	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium rotundifolium	47633	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Gossypium sturtianum	34278	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae
Hylodesmum podocarpum	53867	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Leiosporoceros dussii	263836	Viridiplantae	Streptophyta	Leiosporocerotopsida	Leiosporocerotales	Leiosporocerotaceae
Linum usitatissimum	4006	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Linaceae
Linum usitatissimum var. crepitans	2563477	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Linaceae
Lolium multiflorum	4521	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae
Lolium perenne	4522	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae
Macadamia jansenii	83725	Viridiplantae	Streptophyta	Magnoliopsida	Proteales	Proteaceae
Macadamia tetraphylla	512563	Viridiplantae	Streptophyta	Magnoliopsida	Proteales	Proteaceae
Megaceros flagellaris	263821	Viridiplantae	Streptophyta	Anthocerotopsida	Dendrocerotales	Dendrocerotaceae
Miscanthus lutarioriparius	422564	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae
Morus alba	3498	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae
Musa acuminata subsp. malaccensis	214687	Viridiplantae	Streptophyta	Magnoliopsida	Zingiberales	Musaceae
Musa schizocarpa	52706	Viridiplantae	Streptophyta	Magnoliopsida	Zingiberales	Musaceae
Notothylas orbicularis	93617	Viridiplantae	Streptophyta	Anthocerotopsida	Notothyladales	Notothyladaceae
Ophrys insectifera subsp. aymoninii	145931	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae
Ophrys lutea	145947	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae
